# big5 unicode
0xA0E3 0x00F2
0xA0C3 0x00F3
0xA0F3 0x00F4
0xA0CF 0x00F5
0xA0C9 0x00F6
0xA1D2 0x00F7
0xA0E9 0x00F8
0xA0E4 0x00F9
0xA0C4 0x00FA
0xA0F4 0x00FB
0xA0CA 0x00FC
0x7920 0x00FD
0xA0EC 0x00FE
0xA0ED 0x00FF
0xFFFD 0x0100
0xA0B0 0x0101
0xFFFD 0x0102
0xFFFD 0x0103
0xFFFD 0x0104
0xFFFD 0x0105
0xFFFD 0x0106
0xFFFD 0x0107
0xFFFD 0x0108
0xFFFD 0x0109
0xFFFD 0x010A
0xFFFD 0x010B
0xFFFD 0x010C
0xFFFD 0x010D
0xFFFD 0x010E
0xFFFD 0x010F
0xFFFD 0x0110
0xFFFD 0x0111
0xFFFD 0x0112
0xA0B1 0x0113
0xFFFD 0x0114
0xFFFD 0x0115
0xFFFD 0x0116
0xFFFD 0x0117
0xFFFD 0x0118
0xFFFD 0x0119
0xFFFD 0x011A
0xA0D1 0x011B
0xFFFD 0x011C
0xFFFD 0x011D
0xFFFD 0x011E
0xFFFD 0x011F
0xFFFD 0x0120
0xFFFD 0x0121
0xFFFD 0x0122
0xFFFD 0x0123
0xFFFD 0x0124
0xFFFD 0x0125
0xFFFD 0x0126
0xFFFD 0x0127
0xFFFD 0x0128
0xFFFD 0x0129
0xFFFD 0x012A
0xA0B2 0x012B
0xFFFD 0x012C
0xFFFD 0x012D
0xFFFD 0x012E
0xFFFD 0x012F
0xFFFD 0x0130
0xFFFD 0x0131
0xFFFD 0x0132
0xFFFD 0x0133
0xFFFD 0x0134
0xFFFD 0x0135
0xFFFD 0x0136
0xFFFD 0x0137
0xFFFD 0x0138
0xFFFD 0x0139
0xFFFD 0x013A
0xFFFD 0x013B
0xFFFD 0x013C
0xFFFD 0x013D
0xFFFD 0x013E
0xFFFD 0x013F
0xFFFD 0x0140
0xFFFD 0x0141
0xFFFD 0x0142
0xFFFD 0x0143
0xFFFD 0x0144
0xFFFD 0x0145
0xFFFD 0x0146
0xFFFD 0x0147
0xFFFD 0x0148
0xFFFD 0x0149
0x9BD5 0x014A
0xFFFD 0x014B
0xFFFD 0x014C
0xA0B3 0x014D
0xFFFD 0x014E
0xFFFD 0x014F
0xFFFD 0x0150
0xFFFD 0x0151
0xFFFD 0x0152
0x9BE5 0x0153
0xFFFD 0x0154
0xFFFD 0x0155
0xFFFD 0x0156
0xFFFD 0x0157
0xFFFD 0x0158
0xFFFD 0x0159
0xFFFD 0x015A
0xFFFD 0x015B
0xFFFD 0x015C
0xFFFD 0x015D
0xFFFD 0x015E
0xFFFD 0x015F
0xFFFD 0x0160
0xFFFD 0x0161
0xFFFD 0x0162
0xFFFD 0x0163
0xFFFD 0x0164
0xFFFD 0x0165
0xFFFD 0x0166
0xFFFD 0x0167
0xFFFD 0x0168
0xFFFD 0x0169
0xFFFD 0x016A
0xA0B4 0x016B
0xFFFD 0x016C
0xFFFD 0x016D
0xFFFD 0x016E
0xFFFD 0x016F
0xFFFD 0x0170
0xFFFD 0x0171
0xFFFD 0x0172
0xFFFD 0x0173
0xFFFD 0x0174
0xFFFD 0x0175
0xFFFD 0x0176
0xFFFD 0x0177
0xFFFD 0x0178
0xFFFD 0x0179
